Season Number,Startup Name,Industry_Cleaned,Pitchers City,Pitchers State,Pitchers Average Age,Gross Margin,Net Margin,Yearly Revenue_M_INR,Monthly Sales_M_INR,Original Ask Amount_M_INR,Valuation Requested_M_INR,Total Deal Amount_M_INR,Deal Valuation_M_INR,Total Deal Equity,Total Deal Debt_M_INR,Royalty Percentage,Number of Sharks in Deal,Deal_Success_Flag,Received Offer,Accepted Offer,Number of Presenters,Male Presenters,Female Presenters,Couple Presenters,Founder_Type,Namita Investment Amount_M_INR,Vineeta Investment Amount_M_INR,Anupam Investment Amount_M_INR,Aman Investment Amount_M_INR,Peyush Investment Amount_M_INR,Ritesh Investment Amount_M_INR,Amit Investment Amount_M_INR,Guest Investment Amount_M_INR
2,Makino,F&B,Himmatnagar,Gujarat,Young,40.0,,0.0,0.25,20.0,1000.0,0.0,0.0,,0.0,,,0,0,,4,4.0,,0,Male Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Trunome,Medical/Health,Chennai,Tamil Nadu,Middle,,,0.0,0.0,15.0,1500.0,15.0,750.0,2.0,0.0,,4.0,1,1,1.0,2,2.0,,0,Male Team,0.0,3.75,3.75,3.75,3.75,0.0,0.0,0.0
2,Wol3D,Manufacturing,Mumbai,Maharashtra,Middle,30.0,,0.0,0.0,15.0,1500.0,8.0,400.0,2.0,7.0,,1.0,1,1,1.0,4,2.0,2.0,1,Mixed Team,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
2,What'sUpWellness,F&B,Kolkata,West Bengal,Middle,,,0.0,3.0,5.0,166.6666667,6.0,126.0504202,4.76,0.0,,3.0,1,1,1.0,2,1.0,1.0,0,Mixed Team,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
2,ProostBeer,F&B,Delhi,Delhi,Middle,,,0.0,0.0,10.0,1333.333333,0.0,0.0,,0.0,,,0,0,,2,2.0,,0,Male Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,DrCubes,F&B,Bangalore,Karnataka,Middle,45.0,35.0,7.5,0.0,8.0,53.33333333,0.0,0.0,,0.0,,,0,0,,2,2.0,,0,Male Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,MetroRide,Vehicles/Electrical Vehicles,Bangalore,Karnataka,Middle,,,5.4,2.5,7.5,750.0,0.0,0.0,,0.0,,,0,0,,2,2.0,,0,Male Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Conker,Technology/Software,Bangalore,Karnataka,Middle,50.0,8.0,12.0,2.2,4.0,400.0,0.0,0.0,,0.0,,,0,0,,1,1.0,,0,Male Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,WTF,F&B,Kolkata,West Bengal,Middle,,,0.0,0.0,7.5,150.0,0.0,0.0,,0.0,,,0,0,,1,1.0,,0,Male Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,funngro,Technology/Software,Mumbai,Maharashtra,Middle,,,0.0,0.0,5.0,400.0,5.0,120.19230769999999,4.16,0.0,,2.0,1,1,1.0,3,1.0,2.0,1,Mixed Team,2.5,0.0,0.0,0.0,0.0,0.0,2.5,0.0
